 ,Label,X,Y
1,Pcae2_1_4.tif,1520.000,2200.000
2,Pcae2_1_4.tif,1503.500,879.500
3,Pcae2_1_4.tif,3439.500,2063.500
4,Pcae2_1_4.tif,3535.500,535.500
5,Pcae2_1_4.tif,1447.500,4351.500
6,Pcae2_1_4.tif,1511.500,2943.500
7,Pcae2_1_4.tif,3359.500,5175.500
8,Pcae2_1_4.tif,3431.500,3319.500
9,Pcae2_5_7.tif,1544.000,2344.000
10,Pcae2_5_7.tif,1375.500,375.500
11,Pcae2_5_7.tif,3103.500,3319.500
12,Pcae2_5_7.tif,2983.500,1319.500
13,Pcae2_5_7.tif,2399.500,5375.500
14,Pcae2_5_7.tif,1215.500,3303.500
15,Pcae2_8_9.tif,1816.000,2856.000
16,Pcae2_8_9.tif,1847.500,503.500
17,Pcae2_8_9.tif,2759.500,5015.500
18,Pcae2_8_9.tif,4007.500,2599.500
19,Pcae2_10_11.tif,2096.000,3096.000
20,Pcae2_10_11.tif,2159.500,727.500
21,Pcae2_10_11.tif,2967.500,5759.500
22,Pcae2_10_11.tif,3039.500,3207.500
23,Pcae2_12_21.tif,2008.000,2864.000
24,Pcae2_12_21.tif,2031.500,375.500
25,Pcae2_12_21.tif,3791.500,3471.500
26,Pcae2_12_21.tif,3807.500,1311.500
27,Pcae2_12_21.tif,1255.500,4751.500
28,Pcae2_12_21.tif,1343.500,2943.500
29,Pcae2_12_21.tif,2767.500,5007.500
30,Pcae2_12_21.tif,2727.500,3431.500
31,Pcae2_12_21.tif,823.500,5999.500
32,Pcae2_12_21.tif,767.500,4727.500
33,Pcae2_12_21.tif,1615.500,5895.500
34,Pcae2_12_21.tif,1591.500,4751.500
35,Pcae2_12_21.tif,2319.500,5759.500
36,Pcae2_12_21.tif,2311.500,5023.500
37,Pcae2_12_21.tif,2855.500,5711.500
38,Pcae2_12_21.tif,2751.500,5095.500
39,Pcae2_12_21.tif,3375.500,5687.500
40,Pcae2_12_21.tif,3351.500,5199.500
41,Pcae2_12_21.tif,4031.500,5615.500
42,Pcae2_12_21.tif,3983.500,5263.500
